Customer ID,Name,Transaction Amount,Transaction Method
2,David,859.56,Credit Card
3,Emma,39.98,Credit Card
4,John,343.56,Bank Transfer
5,David,343.25,Debit Card
6,Emily,574.84,Mobile Payment
7,Alex,859.48,Credit Card
8,Alex,731.71,Mobile Payment
9,Emily,581.74,Debit Card
11,Alex,628.43,Debit Card
12,Jane,788.61,Debit Card
13,Michael,130.43,Debit Card
14,Jane,359.75,Debit Card
15,John,563.66,Bank Transfer
16,Emma,982.89,Debit Card
17,Emily,968.91,Debit Card
18,Alex,580.91,Debit Card
20,Emily,239.08,Mobile Payment
22,John,118.44,Mobile Payment
23,John,712.29,Bank Transfer
25,Alex,228.05,Bank Transfer
26,Michael,870.05,Debit Card
27,Michael,651.99,Bank Transfer
28,John,554.47,Credit Card
31,John,661.43,Debit Card
32,Jane,543.38,Bank Transfer
33,Michael,589.07,Mobile Payment
34,Emily,221.5,Debit Card
35,Jane,700.59,Bank Transfer
36,Michael,57.83,Debit Card
37,Jane,643.24,Debit Card
40,Alex,272.41,Debit Card
41,Sarah,95.26,Bank Transfer
43,Emma,222.32,Debit Card
44,Emily,369.96,Credit Card
45,Kate,323.45,Mobile Payment
47,David,874.38,Mobile Payment
48,Jane,666.89,Bank Transfer
49,David,237.78,Debit Card
51,Chris,390.33,Debit Card
52,Kate,105.0,Mobile Payment
53,Emily,986.79,Bank Transfer
54,Sarah,601.27,Credit Card
55,Chris,455.05,Debit Card
56,Jane,134.55,Bank Transfer
58,Alex,446.94,Mobile Payment
60,Emily,272.85,Debit Card
61,Michael,572.42,Credit Card
62,Sarah,42.4,Credit Card
63,John,326.01,Credit Card
66,Kate,799.42,Bank Transfer
67,Emma,44.44,Mobile Payment
71,Sarah,542.63,Bank Transfer
72,Jane,54.64,Debit Card
73,Alex,886.4,Debit Card
74,Emily,432.55,Bank Transfer
75,Emily,381.62,Credit Card
76,Alex,402.76,Debit Card
77,Michael,879.1,Mobile Payment
78,Alex,234.92,Credit Card
81,Alex,384.54,Credit Card
82,Alex,28.13,Bank Transfer
83,Emma,450.26,Debit Card
84,Emily,54.36,Bank Transfer
85,Alex,973.35,Mobile Payment
86,David,289.04,Mobile Payment
87,Emma,859.13,Mobile Payment
89,Kate,251.72,Mobile Payment
91,David,994.5,Bank Transfer
92,Sarah,341.66,Bank Transfer
93,John,151.4,Mobile Payment
96,Alex,255.41,Debit Card
97,David,795.51,Mobile Payment
99,Kate,811.19,Mobile Payment
100,David,783.35,Bank Transfer
101,Jane,678.69,Bank Transfer
102,Sarah,428.68,Credit Card
103,Alex,44.92,Debit Card
104,John,976.71,Bank Transfer
106,Sarah,980.09,Mobile Payment
108,Emma,812.29,Bank Transfer
109,Chris,763.61,Debit Card
110,Michael,978.41,Credit Card
111,Emma,323.98,Debit Card
112,Emily,997.27,Debit Card
113,Michael,212.74,Debit Card
115,John,43.59,Mobile Payment
116,John,631.01,Mobile Payment
118,Chris,266.81,Credit Card
119,Sarah,134.95,Debit Card
120,Emma,841.69,Bank Transfer
121,John,604.91,Credit Card
122,Sarah,420.96,Bank Transfer
123,Chris,384.0,Bank Transfer
124,Kate,435.99,Credit Card
125,Sarah,374.06,Credit Card
126,Jane,45.12,Debit Card
128,Kate,565.57,Credit Card
129,Chris,234.36,Debit Card
130,Michael,15.19,Mobile Payment
131,Alex,588.09,Credit Card
133,John,665.12,Mobile Payment
134,Kate,770.64,Credit Card
135,John,334.42,Debit Card
136,Kate,802.78,Bank Transfer
137,John,544.19,Mobile Payment
139,Kate,481.58,Debit Card
140,John,352.18,Mobile Payment
142,Jane,389.91,Debit Card
143,Sarah,199.91,Credit Card
144,John,209.13,Debit Card
145,Michael,609.69,Bank Transfer
146,Kate,886.07,Credit Card
147,Alex,421.1,Credit Card
148,Emily,145.4,Credit Card
149,Jane,308.44,Bank Transfer
150,Sarah,548.74,Bank Transfer
152,Emma,785.56,Bank Transfer
153,Michael,806.56,Mobile Payment
155,John,760.93,Debit Card
156,Chris,108.91,Debit Card
157,Jane,986.88,Bank Transfer
160,Sarah,161.52,Bank Transfer
161,Emma,567.22,Debit Card
162,Emily,403.93,Credit Card
163,Jane,234.04,Debit Card
164,Jane,404.48,Mobile Payment
165,Kate,563.85,Credit Card
167,Michael,157.22,Bank Transfer
168,Emma,487.56,Bank Transfer
169,Alex,826.49,Bank Transfer
170,Michael,133.05,Credit Card
171,Michael,156.92,Credit Card
172,Emma,545.39,Debit Card
174,David,598.03,Credit Card
175,John,938.31,Mobile Payment
176,Chris,837.03,Credit Card
177,Jane,922.25,Debit Card
178,Emily,395.52,Credit Card
179,Emily,852.48,Credit Card
180,Emily,307.81,Debit Card
182,John,487.58,Debit Card
183,Emma,681.08,Debit Card
184,Chris,107.12,Mobile Payment
185,Kate,301.05,Debit Card
186,Alex,961.92,Credit Card
187,Emma,164.95,Credit Card
188,David,912.31,Bank Transfer
190,Emma,720.87,Debit Card
191,Emily,281.15,Debit Card
192,Kate,522.79,Mobile Payment
193,Michael,115.31,Mobile Payment
194,Emma,20.93,Mobile Payment
195,Sarah,729.81,Credit Card
196,Emma,591.39,Debit Card
197,Emily,188.65,Mobile Payment
198,Emma,687.74,Credit Card
199,David,935.71,Mobile Payment
200,John,583.46,Mobile Payment
201,Michael,943.85,Mobile Payment
202,Chris,677.27,Mobile Payment
203,Emma,402.83,Bank Transfer
204,Chris,412.7,Debit Card
205,Emily,107.17,Credit Card
206,David,730.46,Bank Transfer
207,Sarah,885.76,Mobile Payment
208,Jane,714.74,Debit Card
209,John,419.0,Bank Transfer
210,Michael,111.32,Credit Card
211,Chris,683.72,Bank Transfer
212,Michael,426.13,Debit Card
213,David,591.78,Bank Transfer
214,Chris,964.05,Debit Card
216,Emily,567.15,Mobile Payment
218,David,43.61,Credit Card
219,Michael,660.66,Mobile Payment
221,Sarah,215.38,Credit Card
223,Kate,846.13,Debit Card
224,Kate,704.73,Credit Card
225,David,16.94,Bank Transfer
226,Chris,731.94,Mobile Payment
227,John,55.74,Bank Transfer
228,Michael,95.99,Debit Card
229,Emma,483.46,Debit Card
230,Kate,294.72,Mobile Payment
232,Kate,91.75,Credit Card
233,Chris,611.88,Mobile Payment
234,Jane,152.95,Credit Card
235,John,121.05,Debit Card
236,Alex,722.45,Mobile Payment
237,Kate,178.53,Mobile Payment
238,Emma,240.01,Credit Card
239,John,391.65,Credit Card
243,Alex,195.77,Debit Card
245,Alex,180.36,Bank Transfer
246,Emily,538.81,Bank Transfer
249,Michael,679.71,Mobile Payment
250,Kate,928.88,Credit Card
251,Emily,507.99,Credit Card
252,John,444.69,Credit Card
253,Emily,763.35,Bank Transfer
254,Emily,890.95,Bank Transfer
255,Jane,565.52,Mobile Payment
256,Emma,231.58,Debit Card
259,Kate,231.84,Mobile Payment
260,Jane,209.22,Mobile Payment
262,Jane,538.6,Mobile Payment
263,Emily,190.23,Bank Transfer
264,Jane,671.01,Debit Card
265,David,509.98,Credit Card
266,Emily,533.39,Mobile Payment
267,Michael,393.97,Debit Card
268,Emily,171.21,Credit Card
270,Chris,600.28,Debit Card
271,Michael,527.01,Mobile Payment
273,David,415.85,Mobile Payment
274,John,897.42,Credit Card
275,Emily,736.89,Credit Card
278,Emily,167.59,Credit Card
279,Emma,75.73,Credit Card
281,Jane,910.45,Credit Card
282,Sarah,76.38,Debit Card
283,Kate,764.1,Debit Card
284,Kate,464.83,Mobile Payment
285,Emily,28.76,Debit Card
286,Emily,840.84,Mobile Payment
288,Michael,889.12,Credit Card
290,Jane,981.74,Mobile Payment
291,Emily,663.57,Debit Card
292,Jane,861.57,Bank Transfer
293,Jane,395.38,Debit Card
294,Kate,19.06,Mobile Payment
297,Alex,320.08,Credit Card
298,Michael,372.25,Debit Card
299,Jane,275.27,Debit Card
300,Emily,682.47,Debit Card
302,Kate,81.07,Mobile Payment
304,Chris,182.44,Mobile Payment
305,Alex,127.28,Mobile Payment
306,Sarah,655.8,Debit Card
307,Michael,102.81,Bank Transfer
308,Jane,922.21,Bank Transfer
309,Chris,935.09,Debit Card
310,Jane,758.9,Bank Transfer
311,David,877.4,Mobile Payment
312,Chris,518.99,Mobile Payment
314,Sarah,115.26,Debit Card
315,Emma,963.29,Debit Card
316,Chris,823.44,Bank Transfer
317,Sarah,404.83,Mobile Payment
318,Emily,716.06,Mobile Payment
319,Sarah,343.74,Debit Card
320,Kate,887.12,Debit Card
323,Alex,754.48,Debit Card
324,Kate,223.54,Mobile Payment
326,Alex,771.0,Mobile Payment
327,Alex,38.44,Debit Card
328,Chris,633.8,Mobile Payment
329,Kate,623.61,Credit Card
330,Chris,992.88,Credit Card
331,Michael,234.85,Credit Card
332,Alex,34.68,Bank Transfer
333,Emily,421.26,Mobile Payment
334,Emma,725.18,Bank Transfer
335,John,219.96,Bank Transfer
337,John,269.19,Debit Card
338,Kate,828.3,Bank Transfer
339,John,457.53,Debit Card
340,Kate,595.66,Mobile Payment
341,John,847.46,Bank Transfer
342,David,633.01,Credit Card
343,Jane,775.97,Bank Transfer
344,Chris,137.88,Bank Transfer
345,Sarah,110.49,Credit Card
346,Chris,221.54,Mobile Payment
347,Kate,570.93,Debit Card
348,Sarah,313.9,Mobile Payment
349,Michael,37.5,Mobile Payment
350,Emma,423.28,Bank Transfer
352,Jane,905.44,Credit Card
353,Chris,259.59,Debit Card
354,John,445.95,Credit Card
355,Michael,430.32,Debit Card
356,John,205.86,Mobile Payment
357,Jane,495.18,Bank Transfer
358,Chris,42.07,Debit Card
359,Emma,339.35,Bank Transfer
360,Alex,771.35,Bank Transfer
361,Emma,924.57,Debit Card
363,Chris,43.7,Bank Transfer
364,Sarah,937.91,Debit Card
365,Michael,327.24,Bank Transfer
367,Jane,983.98,Credit Card
369,Emma,415.0,Mobile Payment
370,Alex,494.16,Bank Transfer
371,Kate,301.71,Debit Card
372,David,136.93,Debit Card
373,Chris,65.46,Mobile Payment
374,Emma,490.61,Credit Card
375,Emily,427.25,Bank Transfer
377,Jane,410.4,Credit Card
378,Chris,531.34,Bank Transfer
379,John,92.69,Mobile Payment
380,Michael,197.66,Bank Transfer
381,Kate,570.31,Bank Transfer
383,Michael,504.08,Debit Card
384,Sarah,836.49,Mobile Payment
387,Chris,797.49,Debit Card
388,Alex,199.98,Credit Card
389,Emily,688.76,Credit Card
390,Jane,335.43,Debit Card
391,Sarah,755.78,Bank Transfer
392,Sarah,614.83,Credit Card
393,Michael,306.56,Bank Transfer
394,Alex,991.9,Debit Card
395,Alex,595.36,Credit Card
396,Michael,377.24,Debit Card
398,Michael,967.22,Debit Card
400,David,473.52,Bank Transfer
401,Emma,146.0,Bank Transfer
402,Emily,446.85,Bank Transfer
404,John,159.45,Bank Transfer
408,Kate,799.34,Debit Card
412,Emma,308.99,Debit Card
414,Sarah,951.04,Mobile Payment
415,Sarah,488.86,Debit Card
416,Alex,835.97,Bank Transfer
417,Emma,884.95,Bank Transfer
418,Jane,562.04,Mobile Payment
419,Kate,200.38,Debit Card
420,Kate,390.01,Debit Card
422,Sarah,627.07,Bank Transfer
424,Sarah,24.27,Credit Card
425,John,296.86,Debit Card
426,Jane,71.19,Debit Card
427,Emily,803.4,Bank Transfer
428,Kate,921.9,Credit Card
430,Michael,94.46,Bank Transfer
431,Michael,831.85,Bank Transfer
432,John,628.28,Credit Card
433,Chris,223.83,Mobile Payment
435,Kate,282.57,Bank Transfer
436,Jane,63.04,Debit Card
437,Chris,637.43,Credit Card
438,Jane,913.46,Bank Transfer
439,Michael,791.33,Bank Transfer
441,Emily,239.41,Debit Card
442,Sarah,917.04,Debit Card
443,David,977.82,Debit Card
444,John,878.53,Bank Transfer
445,David,369.89,Debit Card
446,John,455.47,Mobile Payment
447,Alex,441.21,Credit Card
448,Chris,324.68,Bank Transfer
449,Sarah,485.12,Credit Card
450,David,411.78,Debit Card
452,Jane,546.45,Debit Card
453,Michael,288.19,Mobile Payment
454,Sarah,772.82,Debit Card
455,Chris,391.96,Credit Card
456,Sarah,771.77,Mobile Payment
457,David,924.47,Mobile Payment
460,Michael,416.84,Mobile Payment
462,Emma,316.52,Bank Transfer
465,John,539.91,Bank Transfer
466,Emily,922.28,Bank Transfer
467,Jane,273.39,Debit Card
468,Chris,830.77,Debit Card
469,David,453.54,Bank Transfer
470,John,995.98,Mobile Payment
471,Kate,917.7,Bank Transfer
472,Michael,602.92,Bank Transfer
474,Alex,273.24,Bank Transfer
475,David,615.13,Mobile Payment
476,Michael,881.52,Mobile Payment
477,David,186.16,Debit Card
478,Jane,704.66,Debit Card
479,Jane,926.62,Debit Card
480,Alex,322.6,Credit Card
482,John,28.98,Mobile Payment
483,John,681.53,Mobile Payment
484,Jane,973.49,Bank Transfer
485,Emma,177.46,Mobile Payment
486,Chris,384.51,Debit Card
487,Alex,981.82,Mobile Payment
488,Kate,409.73,Mobile Payment
490,John,716.75,Bank Transfer
491,Alex,450.69,Bank Transfer
492,Kate,713.52,Mobile Payment
494,Kate,994.55,Debit Card
496,Chris,688.02,Bank Transfer
497,Sarah,536.19,Bank Transfer
498,Alex,164.31,Bank Transfer
501,John,889.98,Debit Card
502,Jane,125.96,Mobile Payment
503,David,970.05,Mobile Payment
504,Emily,526.96,Debit Card
505,Sarah,591.67,Bank Transfer
506,Jane,111.25,Debit Card
508,Sarah,92.74,Credit Card
509,Emily,615.98,Credit Card
510,Sarah,544.26,Credit Card
511,Jane,691.42,Credit Card
513,Michael,15.12,Mobile Payment
514,John,476.09,Mobile Payment
515,John,853.84,Bank Transfer
516,John,309.87,Debit Card
517,Chris,847.41,Debit Card
518,Kate,360.51,Credit Card
519,Michael,252.58,Mobile Payment
520,David,980.09,Debit Card
