Customer ID,Name,Transaction Amount,Transaction Method,Timestamp
392,Sarah,815.73,Cash,2023-10-22 21:12:27
362,Chris,918.58,Debit Card,2023-10-22 21:12:28
662,Alex,902.84,Credit Card,2023-10-22 21:12:29
904,John,619.77,Mobile Payment,2023-10-22 21:12:30
446,Emily,731.76,Credit Card,2023-10-22 21:12:31
82,John,772.72,Mobile Payment,2023-10-22 21:12:32
497,Emily,404.18,Mobile Payment,2023-10-22 21:12:33
103,David,156.16,Cash,2023-10-22 21:12:34
517,David,450.51,Cash,2023-10-22 21:12:35
94,Sarah,868.11,Mobile Payment,2023-10-22 21:12:36
298,Jessica,150.05,Mobile Payment,2023-10-22 21:12:37
37,Emily,889.17,Mobile Payment,2023-10-22 21:12:38
213,Emily,755.88,Credit Card,2023-10-22 21:12:39
770,Alex,943.14,Bank Transfer,2023-10-22 21:12:40
517,Chris,117.27,Cash,2023-10-22 21:12:41
83,David,76.27,Credit Card,2023-10-22 21:12:42
548,John,890.36,Cash,2023-10-22 21:12:43
863,Emily,39.37,Credit Card,2023-10-22 21:12:44
71,Jessica,382.95,Debit Card,2023-10-22 21:12:45
933,Emily,393.67,Mobile Payment,2023-10-22 21:12:46
253,Michael,702.16,Bank Transfer,2023-10-22 21:12:47
201,Chris,141.91,Credit Card,2023-10-22 21:12:48
739,Michael,855.29,Credit Card,2023-10-22 21:12:49
437,John,117.14,Mobile Payment,2023-10-22 21:12:50
712,Michael,764.62,Debit Card,2023-10-22 21:12:51
460,Sarah,545.71,Cash,2023-10-22 21:12:52
369,David,184.12,Mobile Payment,2023-10-22 21:12:53
797,Sarah,411.3,Mobile Payment,2023-10-22 21:12:54
730,Daniel,579.56,Debit Card,2023-10-22 21:12:55
637,Emma,111.85,Debit Card,2023-10-22 21:12:56
254,Chris,341.52,Debit Card,2023-10-22 21:12:57
269,Emma,99.01,Cash,2023-10-22 21:12:58
873,Emma,402.31,Credit Card,2023-10-22 21:12:59
253,Emma,468.46,Cash,2023-10-22 21:13:00
142,Emily,641.02,Debit Card,2023-10-22 21:13:01
536,Alex,553.06,Bank Transfer,2023-10-22 21:13:02
938,Daniel,737.79,Mobile Payment,2023-10-22 21:13:03
824,Daniel,409.49,Mobile Payment,2023-10-22 21:13:04
798,Sarah,593.87,Cash,2023-10-22 21:13:05
724,Daniel,420.24,Mobile Payment,2023-10-22 21:13:06
353,Emily,819.43,Bank Transfer,2023-10-22 21:13:07
212,Sarah,943.41,Debit Card,2023-10-22 21:13:08
546,Emma,232.07,Cash,2023-10-22 21:13:09
333,Michael,645.21,Mobile Payment,2023-10-22 21:13:10
134,Michael,372.03,Bank Transfer,2023-10-22 21:13:11
225,Sarah,392.45,Cash,2023-10-22 21:13:12
151,Alex,928.5,Cash,2023-10-22 21:13:13
629,Sarah,727.87,Debit Card,2023-10-22 21:13:14
220,Emily,831.19,Credit Card,2023-10-22 21:13:15
542,Chris,184.7,Mobile Payment,2023-10-22 21:13:16
62,John,721.59,Mobile Payment,2023-10-22 21:13:17
931,Michael,380.42,Mobile Payment,2023-10-22 21:13:18
535,Emma,584.04,Mobile Payment,2023-10-22 21:13:19
969,John,35.79,Mobile Payment,2023-10-22 21:13:20
840,John,807.48,Bank Transfer,2023-10-22 21:13:21
264,Chris,528.62,Cash,2023-10-22 21:13:22
375,Chris,402.11,Debit Card,2023-10-22 21:13:23
8,Jessica,655.92,Mobile Payment,2023-10-22 21:13:24
560,Emma,783.53,Credit Card,2023-10-22 21:13:25
554,Alex,483.72,Debit Card,2023-10-22 21:13:26
34,Sarah,498.6,Cash,2023-10-22 21:13:27
790,Daniel,402.49,Bank Transfer,2023-10-22 21:13:28
52,Sarah,659.42,Cash,2023-10-22 21:13:29
294,Sarah,915.76,Bank Transfer,2023-10-22 21:13:30
514,John,332.96,Cash,2023-10-22 21:13:31
845,Emma,810.3,Cash,2023-10-22 21:13:32
399,Jessica,111.43,Bank Transfer,2023-10-22 21:13:33
465,John,314.85,Cash,2023-10-22 21:13:34
947,Emily,967.68,Mobile Payment,2023-10-22 21:13:35
12,Jessica,428.97,Debit Card,2023-10-22 21:13:36
756,Michael,695.97,Cash,2023-10-22 21:13:37
296,David,957.35,Bank Transfer,2023-10-22 21:13:38
469,Michael,896.01,Debit Card,2023-10-22 21:13:39
138,Chris,573.44,Mobile Payment,2023-10-22 21:13:40
237,Daniel,923.03,Debit Card,2023-10-22 21:13:41
316,David,913.73,Debit Card,2023-10-22 21:13:42
890,John,572.27,Mobile Payment,2023-10-22 21:13:43
583,John,832.55,Cash,2023-10-22 21:13:44
243,Emma,982.98,Bank Transfer,2023-10-22 21:13:45
873,John,476.52,Bank Transfer,2023-10-22 21:13:46
948,Daniel,812.5,Cash,2023-10-22 21:13:47
602,Emily,536.24,Debit Card,2023-10-22 21:13:48
186,David,581.11,Cash,2023-10-22 21:13:49
497,Daniel,62.32,Debit Card,2023-10-22 21:13:50
946,Daniel,907.31,Cash,2023-10-22 21:13:51
315,David,56.64,Bank Transfer,2023-10-22 21:13:52
312,Daniel,885.55,Debit Card,2023-10-22 21:13:53
960,Emma,103.08,Mobile Payment,2023-10-22 21:13:54
636,Jessica,793.64,Bank Transfer,2023-10-22 21:13:55
544,David,506.79,Mobile Payment,2023-10-22 21:13:56
97,Jessica,797.51,Mobile Payment,2023-10-22 21:13:57
134,Emily,677.89,Debit Card,2023-10-22 21:13:58
446,Michael,270.49,Cash,2023-10-22 21:13:59
300,Chris,135.08,Mobile Payment,2023-10-22 21:14:00
267,Emily,767.24,Debit Card,2023-10-22 21:14:01
22,David,562.94,Bank Transfer,2023-10-22 21:14:02
591,John,534.73,Mobile Payment,2023-10-22 21:14:03
601,Emily,667.7,Mobile Payment,2023-10-22 21:14:04
645,John,203.6,Mobile Payment,2023-10-22 21:14:05
384,Michael,62.86,Debit Card,2023-10-22 21:14:06
425,Emma,55.95,Cash,2023-10-22 21:14:07
360,Alex,565.25,Debit Card,2023-10-22 21:14:08
988,Chris,199.85,Mobile Payment,2023-10-22 21:14:09
839,Alex,100.82,Credit Card,2023-10-22 21:14:10
490,Daniel,363.59,Credit Card,2023-10-22 21:14:11
985,Chris,847.93,Debit Card,2023-10-22 21:14:12
196,Sarah,442.68,Mobile Payment,2023-10-22 21:14:13
902,Jessica,483.97,Debit Card,2023-10-22 21:14:14
906,John,376.07,Credit Card,2023-10-22 21:14:15
591,David,165.98,Mobile Payment,2023-10-22 21:14:16
46,David,962.06,Mobile Payment,2023-10-22 21:14:17
406,Emily,184.13,Credit Card,2023-10-22 21:14:18
493,David,566.5,Bank Transfer,2023-10-22 21:14:19
927,Alex,604.64,Cash,2023-10-22 21:14:20
698,David,85.22,Bank Transfer,2023-10-22 21:14:21
305,David,434.49,Cash,2023-10-22 21:14:22
862,John,149.11,Cash,2023-10-22 21:14:23
492,Sarah,262.22,Mobile Payment,2023-10-22 21:14:24
795,Michael,91.02,Bank Transfer,2023-10-22 21:14:25
690,Alex,812.67,Debit Card,2023-10-22 21:14:26
812,John,446.74,Mobile Payment,2023-10-22 21:14:27
956,Chris,363.1,Credit Card,2023-10-22 21:14:28
827,Chris,411.62,Debit Card,2023-10-22 21:14:29
188,Alex,437.48,Cash,2023-10-22 21:14:30
795,Michael,399.95,Debit Card,2023-10-22 21:14:31
228,Emma,521.14,Mobile Payment,2023-10-22 21:14:32
949,Sarah,8.16,Bank Transfer,2023-10-22 21:14:33
730,Chris,174.67,Cash,2023-10-22 21:14:34
235,Chris,724.2,Bank Transfer,2023-10-22 21:14:35
664,Alex,720.32,Mobile Payment,2023-10-22 21:14:36
835,David,91.4,Mobile Payment,2023-10-22 21:14:37
872,John,470.17,Mobile Payment,2023-10-22 21:14:38
488,Daniel,370.58,Bank Transfer,2023-10-22 21:14:39
747,Jessica,516.39,Bank Transfer,2023-10-22 21:14:40
709,Sarah,736.96,Mobile Payment,2023-10-22 21:14:41
361,Michael,468.45,Credit Card,2023-10-22 21:14:42
106,John,290.08,Mobile Payment,2023-10-22 21:14:43
